number,country,first,last,participants,sports,gold,silver,bronze,total,first_winter,last_winter,participants_winter,sports_winter,gold_winter,silver_winter,bronze_winter,old_total_winter,athlete,still_in_use,2018_g,2018_s,2018_b,2018_t,g_w,s_w,b_w,new_total_winter,2018_participants,total_participants_w,now_compete_as,true_false_2018,new_last_winter
156, Papua New Guinea,1976,2016,61,8,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
157, Paraguay,1968,2016,103,12,0,1,0,1,2014,2014,1,1,0,0,0,0,17 athletes with 1 medal,Yes,,,,0,0,0,0,0,,1,,FALSE,2014
158, Peru,1900,2016,350,24,1,3,0,4,2010,2014,3,2,0,0,0,0,15 athletes with 1 medal,Yes,,,,0,0,0,0,0,,3,,FALSE,2014
159, Philippines,1924,2016,384,21,0,3,7,10,1972,2014,5,3,0,0,0,0,Teófilo Yldefonso (2 medals),Yes,,,,0,0,0,0,0,2,7,,TRUE,2018
160, Poland,1912,2016,"2,459",30,69,87,134,290,1924,2014,511,15,6,7,7,20,Irena Szewi?ska-Kirszenstein (7 medals),Yes,1,0,1,2,7,7,8,22,62,573,,TRUE,2018
161, Portugal,1912,2016,716,29,4,8,12,24,1952,2014,12,5,0,0,0,0,4 athletes with 2 medals,Yes,,,,0,0,0,0,0,2,14,,TRUE,2018
162, Puerto Rico,1948,2016,546,25,1,2,6,9,1984,1998,17,5,0,0,0,0,9 athletes with 1 medal,Yes,,,,0,0,0,0,0,1,18,,TRUE,2018
163, Qatar,1984,2016,141,15,0,1,4,5,0,0,0,0,0,0,0,0,Mutaz Essa Barshim (2 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
164, Refugee Olympic Athletes,2016,2016,10,3,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
165, Rhodesia,1960,1960,14,6,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,No,,,,0,0,0,0,0,,0,Zimbabwe,FALSE,0
166, Romania,1900,2016,"1,515",28,89,95,121,305,1928,2014,281,13,0,0,1,1,Nadia Com?neci (9 medals),Yes,,,,0,0,0,1,1,27,308,,TRUE,2018
167, Russia,1900,2016,"1,814",34,153,143,165,461,1994,2014,616,15,49,40,35,124,Aleksey Nemov (12 medals),Yes,,,,0,49,40,35,124,,616,,FALSE,2014
168, Rwanda,1984,2016,37,4,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
169, Saar,1952,1952,36,9,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,No,,,,0,0,0,0,0,,0,Germany and West Germany,FALSE,0
170, Saint Kitts and Nevis,1996,2016,19,1,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
171, Saint Lucia,1996,2016,21,3,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
172, Saint Vincent and the Grenadines,1988,2016,28,2,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
173, Samoa,1984,2016,53,10,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
174, San Marino,1960,2016,77,11,0,0,0,0,1976,2014,15,3,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,1,16,,TRUE,2018
175, Sao Tome and Principe,1996,2016,13,2,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
176, Saudi Arabia,1972,2016,149,12,0,1,2,3,0,0,0,0,0,0,0,0,6 athletes with 1 medal,Yes,,,,0,0,0,0,0,,0,,FALSE,0
177, Senegal,1964,2016,231,13,0,1,0,1,1984,2010,3,1,0,0,0,0,Amadou Dia Ba (1 medal),Yes,,,,0,0,0,0,0,,3,,FALSE,2010
178, Serbia,1912,2016,214,17,3,6,6,15,2010,2014,15,5,0,0,0,0,4 athletes with 3 medals,Yes,,,,0,0,0,0,0,4,19,,TRUE,2018
179, Serbia and Montenegro,1996,2004,193,19,2,4,3,9,1998,2006,12,5,0,0,0,0,16 athletes with 2 medals,No,,,,0,0,0,0,0,,12,Serbia and Montenegro now compete as independent countries,FALSE,2006
180, Seychelles,1980,2016,64,8,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
181, Sierra Leone,1968,2016,62,5,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
182, Singapore,1948,2016,172,16,1,2,2,5,2018,0,0,0,0,0,0,0,Feng Tian Wei (3 medals),Yes,,,,0,0,0,0,0,1,1,,TRUE,2018
183, Slovakia,1996,2016,259,22,9,11,8,28,1994,2014,201,12,2,2,1,5,Michal Martikán (5 medals),Yes,1,2,0,3,3,4,1,8,56,257,,TRUE,2018
184, Slovenia,1992,2016,262,16,5,8,10,23,1992,2014,158,11,2,4,9,15,Iztok ?op and Tina Maze (4 medals),Yes,0,1,1,2,2,5,10,17,71,229,,TRUE,2018
185, Solomon Islands,1984,2016,20,5,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
186, Somalia,1972,2016,22,1,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
187, South Africa,1904,2016,952,33,25,33,30,88,1960,2010,11,5,0,0,0,0,Chad le Clos (4 medals),Yes,,,,0,0,0,0,0,1,12,,TRUE,2018
188, South Korea,1948,2016,"2,138",32,90,85,89,264,1948,2014,255,13,26,17,10,53,Kim Su-Nyeong and Jin Jong-O (6 medals),Yes,5,8,4,17,31,25,14,70,122,377,,TRUE,2018
189,South Sudan,2016,2016,3,1,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
190, South Vietnam,1952,1972,39,7,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,No,,,,0,0,0,0,0,,0,Vietnam,FALSE,0
191, South Yemen,1988,1988,5,2,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,No,,,,0,0,0,0,0,,0,Yemen,FALSE,0
192, Soviet Union,1952,1988,"2,475",27,395,319,296,1010,1956,1988,473,10,78,57,59,194,Larysa Latynina (18 medals),No,,,,0,78,57,59,194,,473,"Unified Team in 1992 and then as Armenia, Azerbaijian, Belarus, Georgia, Kazakhstan, Kyrgyzstan, Russia, Moldova, Tajikistan, Turkmenistan, Ukraine and Uzbekistan",FALSE,1988
193, Spain,1900,2016,"2,504",37,44,63,41,148,1936,2014,132,10,1,0,1,2,David Cal (5 medals),Yes,0,0,2,2,1,0,3,4,13,145,,TRUE,2018
194, Sri Lanka,1948,2016,93,11,0,2,0,2,0,0,0,0,0,0,0,0,Susanthika Jayasinghe and Duncan White (1 medal),Yes,,,,0,0,0,0,0,,0,,FALSE,0
195, Sudan,1960,2016,81,8,0,1,0,1,0,0,0,0,0,0,0,0,Ismail Ahmed Ismail (1 medal),Yes,,,,0,0,0,0,0,,0,,FALSE,0
196, Suriname,1968,2016,33,5,1,0,1,2,0,0,0,0,0,0,0,0,Anthony Nesty (2 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
197, Swaziland,1972,2016,41,6,0,0,0,0,1992,1992,1,1,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,1,,FALSE,1992
